Scenario,Global,Year,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
SayedMM,,2045,ZNHPO2-1161,ZNHPO2-1161-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1162,ZNHPO2-1162-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1163,ZNHPO2-1163-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1164,ZNHPO2-1164-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1165,ZNHPO2-1165-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1165,ZNHPO2-1165-2,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1166,ZNHPO2-1166-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1166,ZNHPO2-1166-2,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1167,ZNHPO2-1167-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1168,ZNHPO2-1168-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1169,ZNHPO2-1169-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1171,ZNHPO2-1171-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1171,ZNHPO2-1171-2,101,ZNHPO1,HYPO,4.43837544562545,1,0,3.15,0
SayedMM,,2045,ZNHPO2-1173,ZNHPO2-1173-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1173,ZNHPO2-1173-2,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1175,ZNHPO2-1175-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1175,ZNHPO2-1175-2,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1178,ZNHPO2-1178-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1180,ZNHPO2-1180-1,101,ZNHPO1,HYPO,4.43837544562545,1,0,3.15,0
SayedMM,,2045,ZNHPO2-1182,ZNHPO2-1182-1,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1182,ZNHPO2-1182-2,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1184,ZNHPO2-1184-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1185,ZNHPO2-1185-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1186,ZNHPO2-1186-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1188,ZNHPO2-1188-1,102,ZNHPO2,HYPO,4.30626604534842,1,0,0,0
SayedMM,,2045,ZNHPO2-1189,ZNHPO2-1189-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1191,ZNHPO2-1191-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1192,ZNHPO2-1192-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1195,ZNHPO2-1195-1,104,ZNHPO1,HYPO,11.0584679163333,0,0,0,0
SayedMM,,2045,ZNHPO2-1196,ZNHPO2-1196-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1197,ZNHPO2-1197-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1198,ZNHPO2-1198-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1199,ZNHPO2-1199-1,100,ZNHPO1,HYPO,5.20641494505631,1,0,2.6,0
SayedMM,,2045,ZNHPO2-1199,ZNHPO2-1199-2,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1200,ZNHPO2-1200-1,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1201,ZNHPO2-1201-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1201,ZNHPO2-1201-2,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1202,ZNHPO2-1202-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1205,ZNHPO2-1205-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1207,ZNHPO2-1207-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1207,ZNHPO2-1207-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1208,ZNHPO2-1208-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1208,ZNHPO2-1208-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1209,ZNHPO2-1209-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1210,ZNHPO2-1210-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1211,ZNHPO2-1211-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1213,ZNHPO2-1213-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1214,ZNHPO2-1214-1,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
