Geo,Year,Latitude,Longitude
5.1003E+11,2024,37.95371725,-78.50080299
5.1003E+11,2024,38.01418413,-78.52190585
5.1003E+11,2024,38.00113771,-78.49052201
5.1003E+11,2024,38.00568007,-78.49974671
5.1003E+11,2024,37.84191727,-78.56496751
5.1003E+11,2024,37.87372853,-78.67995859
5.10051E+11,2024,37.82829989,-79.91534774
5.10051E+11,2024,37.7222171,-79.97329121
5.10051E+11,2024,37.8702741,-80.06220068
5.10051E+11,2024,37.75852861,-80.15470791
5.10079E+11,2024,37.28394099,-78.03519658
5.10079E+11,2024,37.3382336,-77.90784131
5.10079E+11,2024,37.27946211,-77.91873872
5.10079E+11,2024,37.24843665,-77.77702165
5.1009E+11,2024,37.59664139,-79.12060045
5.1009E+11,2024,37.54549236,-79.05605245
5.1011E+11,2024,37.35379192,-78.82632769
5.1011E+11,2024,37.37260219,-78.69217582
5.1011E+11,2024,37.27015219,-78.71213578
5.1003E+11,2024,38.05801598,-78.45724017
5.1003E+11,2024,38.05432152,-78.46605113
5.1003E+11,2024,38.05091627,-78.51682144
5.1003E+11,2024,38.03638954,-78.52163981
5.1003E+11,2024,38.0744656,-78.47649829
5.1003E+11,2024,38.07536557,-78.48823997
5.1003E+11,2024,38.09236605,-78.45890198
5.1003E+11,2024,38.08062172,-78.46937447
5.1003E+11,2024,38.08170255,-78.48109302
5.1003E+11,2024,38.06862822,-78.49064057
5.1003E+11,2024,38.08036904,-78.4894324
5.1003E+11,2024,38.06729897,-78.50037389
5.1003E+11,2024,38.06491577,-78.51046747
5.1003E+11,2024,38.05820025,-78.71505753
5.1003E+11,2024,38.04729898,-78.51032811
5.1003E+11,2024,38.03613582,-78.50443342
5.1003E+11,2024,38.03308469,-78.51232267
5.1003E+11,2024,38.07777366,-78.55639897
5.1003E+11,2024,37.9346441,-78.43374347
5.1003E+11,2024,38.03810541,-78.54437933
5.1003E+11,2024,38.07612829,-78.61003196
5.1003E+11,2024,38.06367438,-78.76859621
5.1003E+11,2024,38.04287018,-78.60932303
5.1003E+11,2024,38.06868829,-78.58170145
5.1003E+11,2024,37.78417015,-78.61291441
5.1003E+11,2024,38.0633931,-78.67985649
5.1003E+11,2024,38.05893889,-78.70669663
5.1003E+11,2024,38.06591013,-78.7111986
5.1003E+11,2024,38.07221205,-78.71684817
5.1003E+11,2024,38.01367573,-78.75626762
5.1003E+11,2024,37.78821756,-78.50369111
5.1003E+11,2024,37.99334126,-78.53691292
5.1003E+11,2024,38.00147563,-78.51814531
5.1003E+11,2024,38.00825284,-78.51441337
5.1003E+11,2024,38.00751852,-78.52410089
5.10051E+11,2024,37.81468841,-79.83651114
5.10051E+11,2024,37.80843406,-79.77752447
5.10051E+11,2024,37.77053594,-79.87267994
5.10051E+11,2024,37.6792864,-80.19273353
5.10051E+11,2024,37.8211956,-79.82910405
5.10051E+11,2024,37.82183477,-79.82145317
5.10051E+11,2024,37.82189747,-79.80600892
5.10051E+11,2024,37.83750788,-79.73685836
5.10051E+11,2024,37.89556493,-79.94830801
5.10051E+11,2024,37.76752183,-79.97017904
5.10051E+11,2024,37.69329907,-80.07230016
5.10079E+11,2024,37.36265757,-78.17003064
5.10079E+11,2024,37.32387459,-78.09815591
5.10079E+11,2024,37.4336618,-77.91768947
5.10079E+11,2024,37.37359598,-77.94769409
