GeoIDTxt,Urban,Town,Rural
510190304012,0.00,4471.16,4471.16
510190304013,0.00,3130.87,3130.87
510190304031,0.00,4245.61,4245.61
510190304032,0.00,2517.85,2517.85
510190304033,0.00,8985.88,0.00
510190304041,0.00,3817.29,3817.29
510190304042,0.00,3767.92,3767.92
510190304043,0.00,4162.82,4162.82
510190305011,0.00,7789.16,7789.16
510190305012,0.00,11332.63,11332.63
510190305013,0.00,9446.70,9446.70
510190305031,0.00,2197.34,2197.34
510190305032,0.00,1282.78,1282.78
510190305033,0.00,4231.24,4231.24
510190305041,0.00,4348.71,4348.71
510190305042,0.00,690.02,690.02
510190305043,0.00,1884.17,1884.17
510190306011,0.00,3788.83,3788.83
510190306012,0.00,1503.68,1503.68
510190306013,0.00,1551.56,1551.56
510190306021,0.00,2516.46,0.00
510190306022,0.00,4114.25,0.00
510190306023,0.00,1887.40,1887.40
510190306031,0.00,1342.39,1342.39
510190306032,0.00,9636.41,0.00
510190306041,0.00,13807.15,0.00
510190306042,0.00,5365.62,5365.62
510190306051,0.00,4912.00,4912.00
510190306052,0.00,1018.02,1018.02
510190306053,0.00,8641.49,8641.49
510190501011,0.00,738.36,0.00
510190501012,0.00,1210.42,0.00
510190501021,0.00,715.21,0.00
510190501022,0.00,1466.18,0.00
510210401001,0.00,16209.30,16209.30
510210401002,0.00,8652.70,8652.70
510210401003,0.00,15753.26,15753.26
510210402001,0.00,4397.38,4397.38
510210402002,0.00,13946.33,13946.33
510210402003,0.00,17144.02,17144.02
510230401001,0.00,41771.59,0.00
510230401002,0.00,20484.10,0.00
510230401003,31835.56,0.00,0.00
510230401004,0.00,9022.76,9022.76
510230402001,0.00,5664.14,5664.14
510230402002,0.00,10294.54,10294.54
510230402003,0.00,8399.67,8399.67
510230402004,0.00,1956.83,1956.83
510230403011,0.00,8053.68,8053.68
510230403012,0.00,4235.58,4235.58
510230403031,2178.76,0.00,0.00
510230403032,10051.49,0.00,0.00
510230403033,2866.28,0.00,0.00
510230403041,0.00,7891.80,7891.80
510230403042,0.00,2467.12,2467.12
510230404011,4437.80,0.00,0.00
510230404012,0.00,2863.46,2863.46
510230404021,1381.34,0.00,0.00
510230404022,0.00,1910.83,0.00
510230404023,1037.10,0.00,0.00
510230404024,1123.37,0.00,0.00
510230405011,0.00,3325.00,0.00
510230405012,0.00,1350.12,0.00
510230405013,0.00,957.67,957.67
510230405021,0.00,1553.54,1553.54
510230405022,0.00,1443.61,1443.61
510259301001,0.00,12367.25,12367.25
510259301002,0.00,16191.08,16191.08
510259301003,0.00,12080.48,12080.48
510259301004,0.00,20845.57,20845.57
510259302011,0.00,8271.32,8271.32
510259302012,0.00,8919.59,8919.59
510259302021,0.00,347.52,347.52
510259302031,0.00,3410.11,3410.11
510259302032,0.00,11503.14,11503.14
510259302033,0.00,524.18,524.18
510259302034,0.00,10065.13,10065.13
510259303011,0.00,21116.27,21116.27
510259303012,0.00,9782.09,9782.09
510259303021,0.00,14437.85,14437.85
510259303022,0.00,16392.74,16392.74
510259303023,0.00,11508.67,11508.67
510270101001,0.00,10508.38,10508.38
510270101002,0.00,4757.50,4757.50
510270101003,0.00,4788.89,4788.89
510270101004,0.00,2756.52,2756.52
510270101005,0.00,6054.79,6054.79
510270102001,0.00,7920.99,7920.99
510270102002,0.00,11230.38,11230.38
510270102003,0.00,5248.69,5248.69
510270102004,0.00,3506.81,3506.81
510270103001,0.00,5395.14,5395.14
510270103002,0.00,7668.12,7668.12
510270103003,0.00,2031.65,2031.65
510270104001,0.00,7354.84,7354.84
510270104002,0.00,5381.54,5381.54
510270105001,0.00,10329.60,10329.60
510270105002,0.00,11136.70,11136.70
510270106001,0.00,6003.18,6003.18
510270106002,0.00,6205.84,6205.84
510270106003,0.00,7159.81,7159.81
510270106004,0.00,6978.83,6978.83
510270107001,0.00,6822.03,6822.03
510270107002,0.00,5847.51,5847.51
510270107003,0.00,5860.31,5860.31
510270107004,0.00,9946.24,9946.24
510299301011,0.00,18321.31,18321.31
510299301012,0.00,14728.58,14728.58
510299301013,0.00,14446.08,14446.08
510299301021,0.00,14139.34,14139.34
510299301022,0.00,7129.84,7129.84
510299301023,0.00,6643.72,6643.72
510299302011,0.00,5161.97,5161.97
510299302012,0.00,12464.82,12464.82
510299302013,0.00,13093.01,13093.01
510299302021,0.00,12547.67,12547.67
510299302022,0.00,34846.33,34846.33
510299302023,0.00,29248.95,29248.95
510310201011,0.00,16765.13,0.00
510310201012,0.00,7594.07,7594.07
510310201021,0.00,21722.92,21722.92
510310202001,6388.31,0.00,0.00
510310202002,0.00,7778.06,0.00
510310203001,397.11,0.00,0.00
510310203002,341.17,0.00,0.00
510310203003,536.21,0.00,0.00
510310204011,2511.27,0.00,0.00
510310204021,935.06,0.00,0.00
510310204022,522.12,0.00,0.00
510310204031,0.00,2220.86,0.00
510310204032,0.00,12195.03,0.00
510310205001,0.00,30035.14,0.00
510310205002,0.00,8859.36,0.00
510310206001,0.00,4114.96,4114.96
510310206002,0.00,13685.97,0.00
510310206003,0.00,10199.50,10199.50
510310207001,0.00,905.41,0.00
510310207002,551.46,0.00,0.00
510310207003,0.00,1615.15,0.00
510310208001,0.00,32353.46,32353.46
510310209001,0.00,18637.39,18637.39
510310209002,0.00,11705.90,11705.90
510310209003,0.00,987.28,987.28
510330301001,0.00,1762.16,1762.16
510330301002,0.00,9983.07,9983.07
510330301003,0.00,43406.17,43406.17
510330302011,0.00,14888.73,14888.73
510330302021,0.00,28854.24,28854.24
510330303001,0.00,6187.21,6187.21
510330303002,0.00,1839.09,1839.09
510330303003,0.00,690.67,690.67
510330304001,0.00,8552.97,8552.97
510330304002,0.00,3310.80,3310.80
510330305011,0.00,1689.11,1689.11
510330305012,0.00,2382.62,2382.62
510330305021,0.00,1255.57,1255.57
510330305022,0.00,979.04,979.04
510330305023,0.00,6085.16,6085.16
510330305031,0.00,10139.12,10139.12
510330305032,0.00,6781.95,6781.95
510330306001,0.00,8438.29,8438.29
510330306002,0.00,9586.38,9586.38
510350801001,0.00,6439.92,6439.92
510350801002,0.00,9825.16,9825.16
510350801003,0.00,11334.04,11334.04
510350802001,0.00,3794.88,3794.88
510350802002,0.00,2291.53,2291.53
510350802003,0.00,3888.29,3888.29
510350802004,0.00,4457.46,4457.46
510350803001,0.00,7336.24,7336.24
510350803002,0.00,1746.17,1746.17
510350803003,0.00,4488.15,4488.15
510350803004,0.00,4770.72,4770.72
510350804011,0.00,2391.89,2391.89
510350804012,0.00,4363.93,4363.93
510350804021,0.00,6237.35,6237.35
510350804022,0.00,9525.36,0.00
510350805011,0.00,18658.42,18658.42
510350805012,0.00,9697.79,9697.79
510350805021,0.00,6070.20,6070.20
510350805022,0.00,4074.21,4074.21
510350806011,0.00,6315.32,6315.32
510350806012,0.00,3819.64,3819.64
510350806031,0.00,3529.36,3529.36
510350806032,0.00,2632.58,2632.58
510350806033,0.00,4370.15,4370.15
510350806041,0.00,4775.34,4775.34
510366001001,0.00,7219.98,7219.98
510366001002,0.00,7055.26,7055.26
510366002001,0.00,5972.08,5972.08
510366002002,0.00,7502.17,7502.17
510366003001,0.00,8930.20,8930.20
510366003002,0.00,17960.90,17960.90
510379301011,0.00,13885.14,13885.14
510379301012,0.00,11011.08,11011.08
510379301021,0.00,14730.23,14730.23
510379301022,0.00,18096.38,18096.38
510379302001,0.00,13086.39,13086.39
510379302002,0.00,16358.42,16358.42
510379302003,0.00,20116.01,20116.01
510379303001,0.00,12542.01,12542.01
510379303002,0.00,13425.55,13425.55
510379303003,0.00,18685.40,18685.40
510411001061,1040.88,0.00,0.00
510411001062,345.24,0.00,0.00
510411001071,448.12,0.00,0.00
510411001072,286.72,0.00,0.00
510411002061,295.60,0.00,0.00
510411002062,610.60,0.00,0.00
510411002063,306.72,0.00,0.00
510411002064,569.81,0.00,0.00
510411002065,279.13,0.00,0.00
510411002081,591.11,0.00,0.00
510411002082,486.85,0.00,0.00
510411002091,438.48,0.00,0.00
510411002092,343.44,0.00,0.00
510411002093,623.80,0.00,0.00
510411002094,513.36,0.00,0.00
510411002101,835.00,0.00,0.00
510411002111,267.04,0.00,0.00
510411002112,222.95,0.00,0.00
510411002121,234.07,0.00,0.00
510411002122,139.69,0.00,0.00
510411002123,109.99,0.00,0.00
510411003001,1041.91,0.00,0.00
510411003002,254.25,0.00,0.00
510411004031,5633.45,0.00,0.00
510411004032,541.55,0.00,0.00
510411004033,4413.79,0.00,0.00
510411004034,799.13,0.00,0.00
510411004035,1105.34,0.00,0.00
510411004041,383.39,0.00,0.00
510411004042,239.86,0.00,0.00
510411004051,210.54,0.00,0.00
510411004052,172.72,0.00,0.00
510411004061,879.46,0.00,0.00
510411004071,572.62,0.00,0.00
510411004072,850.75,0.00,0.00
510411004073,723.38,0.00,0.00
510411004091,671.79,0.00,0.00
510411004092,544.79,0.00,0.00
510411004093,668.89,0.00,0.00
510411004094,301.21,0.00,0.00
510411004095,451.49,0.00,0.00
510411004101,177.09,0.00,0.00
510411004102,302.88,0.00,0.00
510411005051,389.62,0.00,0.00
510411005052,897.95,0.00,0.00
510411005053,738.29,0.00,0.00
510411005054,147.04,0.00,0.00
510411005055,311.96,0.00,0.00
510411005061,237.67,0.00,0.00
510411005062,1253.16,0.00,0.00
510411005063,311.10,0.00,0.00
510411005064,507.29,0.00,0.00
510411005065,466.09,0.00,0.00
510411005071,1312.42,0.00,0.00
510411005072,475.79,0.00,0.00
510411005073,783.68,0.00,0.00
510411005081,702.32,0.00,0.00
510411005082,1315.94,0.00,0.00
510411005091,1002.83,0.00,0.00
510411005092,3474.01,0.00,0.00
510411005093,864.21,0.00,0.00
510411005094,1208.96,0.00,0.00
510411005101,354.30,0.00,0.00
510411005102,1275.95,0.00,0.00
510411006001,339.37,0.00,0.00
510411006002,221.08,0.00,0.00
510411006003,241.73,0.00,0.00
510411007011,622.91,0.00,0.00
510411007012,638.15,0.00,0.00
510411007013,695.66,0.00,0.00
510411007014,828.38,0.00,0.00
510411007021,6726.47,0.00,0.00
510411007041,5185.10,0.00,0.00
510411007042,4869.87,0.00,0.00
510411007043,0.00,7109.28,0.00
510411007051,0.00,5470.87,0.00
510411007052,0.00,10641.75,0.00
510411008041,518.84,0.00,0.00
510411008042,256.14,0.00,0.00
510411008043,500.37,0.00,0.00
510411008051,341.59,0.00,0.00
510411008052,206.37,0.00,0.00
510411008053,386.83,0.00,0.00
510411008054,478.63,0.00,0.00
510411008061,120.64,0.00,0.00
510411008062,408.27,0.00,0.00
510411008071,857.66,0.00,0.00
510411008121,1790.03,0.00,0.00
510411008122,672.77,0.00,0.00
510411008123,841.96,0.00,0.00
510411008141,500.59,0.00,0.00
510411008142,757.31,0.00,0.00
510411008151,637.45,0.00,0.00
510411008152,764.54,0.00,0.00
510411008161,358.31,0.00,0.00
510411008162,443.21,0.00,0.00
510411008163,268.04,0.00,0.00
510411008171,251.91,0.00,0.00
510411008172,917.55,0.00,0.00
510411008181,547.87,0.00,0.00
510411008182,958.89,0.00,0.00
510411008191,534.94,0.00,0.00
510411008192,792.08,0.00,0.00
510411008193,680.87,0.00,0.00
510411008201,452.85,0.00,0.00
510411008202,2027.37,0.00,0.00
510411008211,3163.39,0.00,0.00
510411008212,0.00,1517.10,1517.10
510411008213,0.00,1031.97,1031.97
510411008221,3801.55,0.00,0.00
